,inci_as_array
85,"[' behentrimonium methosulfate & cetearyl alcohol', ' theobroma cacao seed butter', ' cetyl alcohol', ' hydroxypropyltrimonium honey & leuconostoc / radish rootferment filtrate', ' honey', ' citrus aurantinum dulcis peel oil', ' panthenol', ' sodium lactate', ' beeswax', ' macadamia ternifolia seed oil & pulmonariae officinalis extract & tilia cordata  extract & sambucus nigra flower extract', ' persea gratissima oil', ' juglans regia seed oil', ' dehydroacetic acid & benzyl alcohol', ' lactic acid', ' citral', ' linalool', ' limonene']"
405,"['helianthus annuus  seed oil', 'cocos nucifera  oil', 'ricinus communis  seed oil', 'prunus amygdalus dulcis  oil', 'simmondsia chinensis  seed oil', 'argania spinosa  kernel oil', 'oryza sativa  bran oil', 'phyllanthus emblica fruit extract', 'zea mays  germ oil', 'tocopherol', 'parfum']"
125,"['aqua', ' glycerin', ' aloe barbadensis leaf juice', ' punica granatum fruit juice', ' cetearyl alcohol', ' cetyl alcohol', 'passiflora edulis fruit juice', ' hydrolyzed lupine protein', ' linum usitatissimum  seed extract', ' yogurt', ' niacinamide', ' phytosterols', ' caffeine', ' biotin', ' trifolium pratense  flower extract', ' equisetum arvense extract', ' urtica dioica  extract', ' cola acuminata seed extract', ' keratin', ' hydrolyzed keratin', ' serenoa serrulata fruit extract', ' betaine', ' butyrospermum parkii  butter', ' elaeis guineensis  butter', ' simmondsia chinensis  seed oil', ' punica granatum seed oil', ' piroctone olamine', ' behentrimonium methosulfate', ' stearamidopropyl dimethylamine', ' citric acid', ' phenoxyethanol', ' caprylyl glycol', ' sodium benzoate', ' ethylhexylglycerin', ' beta vulgaris  root extract', ' polyacrylamide', 'parfum', ' maltodextrin', ' acacia senegal gum', ' silica', ' red 33/ci17200', ' benzyl benzoate', ' citral', ' limonene', ' linalool.']"
130,"['behentrimonium methosulfate', ' cetyl alcohol', ' butylene glycol', ' theobroma cacao butter', ' prunus amygdalus dulcis oil', ' hydrogenated vegetable oil', ' citrus grandis oil', ' panthenol', ' hydrolyzed silk', ' sclerocarya birrea', 'aqua', ' crambe abyssinica seed oil', ' ricinus communis oil', ' cocomidopropyl betaine', 'hydroxypropyltrimonium honey', ' leuconostoc/radish root ferment filtrate', ' limonene', ' myrcene', ' citral']"
140,"['aqua', ' butyrospermum parkii  oil', ' hydrolyzed keratin', ' hydrolyzed wheat protein', ' hydrolyzed rye protein', ' hydrolyzed oats protein', ' vegetable glycerin', ' cetearyl alcohol', ' behentrimonium chloride', ' caprylic/capric triglyceride', ' cetrimonium chloride', ' benzyl alcohol', ' ethylhexylglycerin', ' perfume', ' cyclopentasiloxane', ' dimethiconol', ' hydroxyethylcellulose', ' panthenol', ' dipropylene glycol', ' polysilicone-29', ' silk amino acids', ' hydroxypropyl guar', ' hydroxypropyl guar hydroxypropyltrimonium chloride', ' citric acid']"
425,['trigonella foenum - graceum  seed oil']
575,"['aloe barbadensis  leaf juice', 'nelumbium speciosum flower extract', 'centella asiatica leaf extract', 'bambusa vulgaris leaf/stem extract', 'cucumis sativus  fruit extract', 'zea mays  leaf extract', 'brassica oleracea capitata  leaf extract', 'aqua', 'peg - 60 hydrogenated castor oil', 'sodium polyacrylate', 'carbomer', 'triethanolamine', 'fragrance', 'phenoxyethanol']"
405,"['helianthus annuus  seed oil', 'cocos nucifera  oil', 'ricinus communis  seed oil', 'prunus amygdalus dulcis  oil', 'simmondsia chinensis  seed oil', 'argania spinosa  kernel oil', 'oryza sativa  bran oil', 'phyllanthus emblica fruit extract', 'zea mays  germ oil', 'tocopherol', 'parfum']"
460,"['aqua', 'glycerin', 'carbomer', 'aminomethyl propanol', 'polysorbate-20', 'phenoxyethanol', 'polyvinylpyrrolidone', 'parfum', 'ethylhexylglycerin', 'tetrasodium edta', 'hydrolyzed wheat protein', 'sodium hydroxide', 'sodium glycolate', 'cocos nucifera  oil', 'linum usitatissimum  seed oil', 'potassium sorbate']"
555,['aqua']
375,['rubus idaeus  seed oil']
240,"['aqua', ' aloe barbadensis leaf juice', ' prunus amygdalus dulcis  oil', 'cetyl alcohol', ' myristyl alcohol', ' stearamidopropyl dimethylamine', ' linum usitatissimum seed oil', ' glycerin', ' urtica dioica  leaf extract', ' lecithin', ' tocopherol', ' sodium phytate', ' ascorbyl palmitate', ' citric acid', ' sodium levulinate', ' sodium benzoate', ' lactic acid', 'parfum']"
